image_path,annotation_path
facemask-dataset/images/maksssksksss44.png,facemask-dataset/annotations/maksssksksss44.xml
facemask-dataset/images/maksssksksss534.png,facemask-dataset/annotations/maksssksksss534.xml
facemask-dataset/images/maksssksksss804.png,facemask-dataset/annotations/maksssksksss804.xml
facemask-dataset/images/maksssksksss589.png,facemask-dataset/annotations/maksssksksss589.xml
facemask-dataset/images/maksssksksss497.png,facemask-dataset/annotations/maksssksksss497.xml
facemask-dataset/images/maksssksksss104.png,facemask-dataset/annotations/maksssksksss104.xml
facemask-dataset/images/maksssksksss67.png,facemask-dataset/annotations/maksssksksss67.xml
facemask-dataset/images/maksssksksss72.png,facemask-dataset/annotations/maksssksksss72.xml
facemask-dataset/images/maksssksksss46.png,facemask-dataset/annotations/maksssksksss46.xml
facemask-dataset/images/maksssksksss178.png,facemask-dataset/annotations/maksssksksss178.xml
facemask-dataset/images/maksssksksss316.png,facemask-dataset/annotations/maksssksksss316.xml
facemask-dataset/images/maksssksksss657.png,facemask-dataset/annotations/maksssksksss657.xml
facemask-dataset/images/maksssksksss87.png,facemask-dataset/annotations/maksssksksss87.xml
facemask-dataset/images/maksssksksss559.png,facemask-dataset/annotations/maksssksksss559.xml
facemask-dataset/images/maksssksksss426.png,facemask-dataset/annotations/maksssksksss426.xml
facemask-dataset/images/maksssksksss699.png,facemask-dataset/annotations/maksssksksss699.xml
facemask-dataset/images/maksssksksss4.png,facemask-dataset/annotations/maksssksksss4.xml
facemask-dataset/images/maksssksksss36.png,facemask-dataset/annotations/maksssksksss36.xml
facemask-dataset/images/maksssksksss332.png,facemask-dataset/annotations/maksssksksss332.xml
facemask-dataset/images/maksssksksss386.png,facemask-dataset/annotations/maksssksksss386.xml
facemask-dataset/images/maksssksksss55.png,facemask-dataset/annotations/maksssksksss55.xml
facemask-dataset/images/maksssksksss464.png,facemask-dataset/annotations/maksssksksss464.xml
facemask-dataset/images/maksssksksss198.png,facemask-dataset/annotations/maksssksksss198.xml
facemask-dataset/images/maksssksksss101.png,facemask-dataset/annotations/maksssksksss101.xml
facemask-dataset/images/maksssksksss402.png,facemask-dataset/annotations/maksssksksss402.xml
facemask-dataset/images/maksssksksss68.png,facemask-dataset/annotations/maksssksksss68.xml
facemask-dataset/images/maksssksksss91.png,facemask-dataset/annotations/maksssksksss91.xml
facemask-dataset/images/maksssksksss545.png,facemask-dataset/annotations/maksssksksss545.xml
facemask-dataset/images/maksssksksss571.png,facemask-dataset/annotations/maksssksksss571.xml
facemask-dataset/images/maksssksksss573.png,facemask-dataset/annotations/maksssksksss573.xml
facemask-dataset/images/maksssksksss490.png,facemask-dataset/annotations/maksssksksss490.xml
facemask-dataset/images/maksssksksss18.png,facemask-dataset/annotations/maksssksksss18.xml
facemask-dataset/images/maksssksksss719.png,facemask-dataset/annotations/maksssksksss719.xml
facemask-dataset/images/maksssksksss817.png,facemask-dataset/annotations/maksssksksss817.xml
facemask-dataset/images/maksssksksss598.png,facemask-dataset/annotations/maksssksksss598.xml
facemask-dataset/images/maksssksksss109.png,facemask-dataset/annotations/maksssksksss109.xml
facemask-dataset/images/maksssksksss656.png,facemask-dataset/annotations/maksssksksss656.xml
facemask-dataset/images/maksssksksss106.png,facemask-dataset/annotations/maksssksksss106.xml
facemask-dataset/images/maksssksksss189.png,facemask-dataset/annotations/maksssksksss189.xml
facemask-dataset/images/maksssksksss476.png,facemask-dataset/annotations/maksssksksss476.xml
facemask-dataset/images/maksssksksss115.png,facemask-dataset/annotations/maksssksksss115.xml
facemask-dataset/images/maksssksksss276.png,facemask-dataset/annotations/maksssksksss276.xml
facemask-dataset/images/maksssksksss655.png,facemask-dataset/annotations/maksssksksss655.xml
facemask-dataset/images/maksssksksss26.png,facemask-dataset/annotations/maksssksksss26.xml
facemask-dataset/images/maksssksksss445.png,facemask-dataset/annotations/maksssksksss445.xml
facemask-dataset/images/maksssksksss245.png,facemask-dataset/annotations/maksssksksss245.xml
facemask-dataset/images/maksssksksss458.png,facemask-dataset/annotations/maksssksksss458.xml
facemask-dataset/images/maksssksksss530.png,facemask-dataset/annotations/maksssksksss530.xml
facemask-dataset/images/maksssksksss600.png,facemask-dataset/annotations/maksssksksss600.xml
facemask-dataset/images/maksssksksss347.png,facemask-dataset/annotations/maksssksksss347.xml
facemask-dataset/images/maksssksksss448.png,facemask-dataset/annotations/maksssksksss448.xml
facemask-dataset/images/maksssksksss117.png,facemask-dataset/annotations/maksssksksss117.xml
facemask-dataset/images/maksssksksss235.png,facemask-dataset/annotations/maksssksksss235.xml
facemask-dataset/images/maksssksksss595.png,facemask-dataset/annotations/maksssksksss595.xml
facemask-dataset/images/maksssksksss167.png,facemask-dataset/annotations/maksssksksss167.xml
facemask-dataset/images/maksssksksss11.png,facemask-dataset/annotations/maksssksksss11.xml
facemask-dataset/images/maksssksksss226.png,facemask-dataset/annotations/maksssksksss226.xml
facemask-dataset/images/maksssksksss777.png,facemask-dataset/annotations/maksssksksss777.xml
facemask-dataset/images/maksssksksss376.png,facemask-dataset/annotations/maksssksksss376.xml
facemask-dataset/images/maksssksksss266.png,facemask-dataset/annotations/maksssksksss266.xml
facemask-dataset/images/maksssksksss592.png,facemask-dataset/annotations/maksssksksss592.xml
facemask-dataset/images/maksssksksss851.png,facemask-dataset/annotations/maksssksksss851.xml
facemask-dataset/images/maksssksksss828.png,facemask-dataset/annotations/maksssksksss828.xml
facemask-dataset/images/maksssksksss279.png,facemask-dataset/annotations/maksssksksss279.xml
facemask-dataset/images/maksssksksss597.png,facemask-dataset/annotations/maksssksksss597.xml
facemask-dataset/images/maksssksksss761.png,facemask-dataset/annotations/maksssksksss761.xml
facemask-dataset/images/maksssksksss849.png,facemask-dataset/annotations/maksssksksss849.xml
facemask-dataset/images/maksssksksss169.png,facemask-dataset/annotations/maksssksksss169.xml
facemask-dataset/images/maksssksksss771.png,facemask-dataset/annotations/maksssksksss771.xml
facemask-dataset/images/maksssksksss663.png,facemask-dataset/annotations/maksssksksss663.xml
facemask-dataset/images/maksssksksss807.png,facemask-dataset/annotations/maksssksksss807.xml
facemask-dataset/images/maksssksksss785.png,facemask-dataset/annotations/maksssksksss785.xml
facemask-dataset/images/maksssksksss447.png,facemask-dataset/annotations/maksssksksss447.xml
facemask-dataset/images/maksssksksss661.png,facemask-dataset/annotations/maksssksksss661.xml
facemask-dataset/images/maksssksksss369.png,facemask-dataset/annotations/maksssksksss369.xml
facemask-dataset/images/maksssksksss287.png,facemask-dataset/annotations/maksssksksss287.xml
facemask-dataset/images/maksssksksss671.png,facemask-dataset/annotations/maksssksksss671.xml
facemask-dataset/images/maksssksksss432.png,facemask-dataset/annotations/maksssksksss432.xml
facemask-dataset/images/maksssksksss791.png,facemask-dataset/annotations/maksssksksss791.xml
facemask-dataset/images/maksssksksss473.png,facemask-dataset/annotations/maksssksksss473.xml
facemask-dataset/images/maksssksksss353.png,facemask-dataset/annotations/maksssksksss353.xml
facemask-dataset/images/maksssksksss621.png,facemask-dataset/annotations/maksssksksss621.xml
facemask-dataset/images/maksssksksss433.png,facemask-dataset/annotations/maksssksksss433.xml
facemask-dataset/images/maksssksksss60.png,facemask-dataset/annotations/maksssksksss60.xml
facemask-dataset/images/maksssksksss769.png,facemask-dataset/annotations/maksssksksss769.xml
facemask-dataset/images/maksssksksss41.png,facemask-dataset/annotations/maksssksksss41.xml
facemask-dataset/images/maksssksksss49.png,facemask-dataset/annotations/maksssksksss49.xml
facemask-dataset/images/maksssksksss744.png,facemask-dataset/annotations/maksssksksss744.xml
facemask-dataset/images/maksssksksss411.png,facemask-dataset/annotations/maksssksksss411.xml
facemask-dataset/images/maksssksksss780.png,facemask-dataset/annotations/maksssksksss780.xml
facemask-dataset/images/maksssksksss660.png,facemask-dataset/annotations/maksssksksss660.xml
facemask-dataset/images/maksssksksss795.png,facemask-dataset/annotations/maksssksksss795.xml
facemask-dataset/images/maksssksksss222.png,facemask-dataset/annotations/maksssksksss222.xml
facemask-dataset/images/maksssksksss724.png,facemask-dataset/annotations/maksssksksss724.xml
facemask-dataset/images/maksssksksss708.png,facemask-dataset/annotations/maksssksksss708.xml
facemask-dataset/images/maksssksksss329.png,facemask-dataset/annotations/maksssksksss329.xml
facemask-dataset/images/maksssksksss548.png,facemask-dataset/annotations/maksssksksss548.xml
facemask-dataset/images/maksssksksss697.png,facemask-dataset/annotations/maksssksksss697.xml
facemask-dataset/images/maksssksksss629.png,facemask-dataset/annotations/maksssksksss629.xml
facemask-dataset/images/maksssksksss184.png,facemask-dataset/annotations/maksssksksss184.xml
facemask-dataset/images/maksssksksss737.png,facemask-dataset/annotations/maksssksksss737.xml
facemask-dataset/images/maksssksksss846.png,facemask-dataset/annotations/maksssksksss846.xml
facemask-dataset/images/maksssksksss690.png,facemask-dataset/annotations/maksssksksss690.xml
facemask-dataset/images/maksssksksss484.png,facemask-dataset/annotations/maksssksksss484.xml
facemask-dataset/images/maksssksksss232.png,facemask-dataset/annotations/maksssksksss232.xml
facemask-dataset/images/maksssksksss800.png,facemask-dataset/annotations/maksssksksss800.xml
facemask-dataset/images/maksssksksss375.png,facemask-dataset/annotations/maksssksksss375.xml
facemask-dataset/images/maksssksksss122.png,facemask-dataset/annotations/maksssksksss122.xml
facemask-dataset/images/maksssksksss171.png,facemask-dataset/annotations/maksssksksss171.xml
facemask-dataset/images/maksssksksss39.png,facemask-dataset/annotations/maksssksksss39.xml
facemask-dataset/images/maksssksksss493.png,facemask-dataset/annotations/maksssksksss493.xml
facemask-dataset/images/maksssksksss334.png,facemask-dataset/annotations/maksssksksss334.xml
facemask-dataset/images/maksssksksss829.png,facemask-dataset/annotations/maksssksksss829.xml
facemask-dataset/images/maksssksksss108.png,facemask-dataset/annotations/maksssksksss108.xml
facemask-dataset/images/maksssksksss641.png,facemask-dataset/annotations/maksssksksss641.xml
facemask-dataset/images/maksssksksss480.png,facemask-dataset/annotations/maksssksksss480.xml
facemask-dataset/images/maksssksksss797.png,facemask-dataset/annotations/maksssksksss797.xml
facemask-dataset/images/maksssksksss658.png,facemask-dataset/annotations/maksssksksss658.xml
facemask-dataset/images/maksssksksss582.png,facemask-dataset/annotations/maksssksksss582.xml
facemask-dataset/images/maksssksksss522.png,facemask-dataset/annotations/maksssksksss522.xml
facemask-dataset/images/maksssksksss704.png,facemask-dataset/annotations/maksssksksss704.xml
facemask-dataset/images/maksssksksss796.png,facemask-dataset/annotations/maksssksksss796.xml
facemask-dataset/images/maksssksksss81.png,facemask-dataset/annotations/maksssksksss81.xml
facemask-dataset/images/maksssksksss131.png,facemask-dataset/annotations/maksssksksss131.xml
facemask-dataset/images/maksssksksss107.png,facemask-dataset/annotations/maksssksksss107.xml
facemask-dataset/images/maksssksksss210.png,facemask-dataset/annotations/maksssksksss210.xml
facemask-dataset/images/maksssksksss354.png,facemask-dataset/annotations/maksssksksss354.xml
